date,forecast_temperature
2024-02-01,26.3656907148309
2024-02-02,26.456353961321852
2024-02-03,26.495316484567816
2024-02-04,26.51595595618603
2024-02-05,26.5250746224164
2024-02-06,26.529789092589724
2024-02-07,26.531915790483577
2024-02-08,26.532995469132874
2024-02-09,26.533490199281452
2024-02-10,26.533737951661923
2024-02-11,26.533852821961343
2024-02-12,26.53390975930255
2024-02-13,26.53393639323562
2024-02-14,26.533949493330343
2024-02-15,26.53395566221737
2024-02-16,26.533958678893622
2024-02-17,26.533960106595995
2024-02-18,26.53396080172906
2024-02-19,26.533961131956897
2024-02-20,26.53396129221585
2024-02-21,26.533961368564043
2024-02-22,26.533961405524632
2024-02-23,26.533961423170407
2024-02-24,26.53396143169704
2024-02-25,26.533961435774366
2024-02-26,26.533961437741837
2024-02-27,26.53396143868379
2024-02-28,26.533961439137844
2024-02-29,26.533961439355426
2024-03-01,26.533961439460228
